"NUTS code";"ITL code";"Region name"
"UKL16";"TLL16";"Gwent Valleys"
"UKL17";"TLL17";"Bridgend and Neath Port Talbot"
"UKL18";"TLL18";"Swansea"
"UKL2";"TLL2";"East Wales"
"UKL21";"TLL21";"Monmouthshire and Newport"
"UKL22";"TLL22";"Cardiff and Vale of Glamorgan"
"UKL23";"TLL23";"Flintshire and Wrexham"
"UKL24";"TLL24";"Powys"
"UKM";"TLM";"Scotland"
"UKM5";"TLM5";"North Eastern Scotland"
"UKM50";"TLM50";"Aberdeen City and Aberdeenshire"
"UKM6";"TLM6";"Highlands and Islands"
"UKM61";"TLM61";"Caithness and Sutherland, and Ross and Cromarty"
"UKM62";"TLM62";"Inverness and Nairn, Moray, and Badenoch and Strathspey"
"UKM63";"TLM63";"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute"
"UKM64";"TLM64";"Na h-Eileanan Siar"
"UKM65";"TLM65";"Orkney Islands"
"UKM66";"TLM66";"Shetland Islands"
"UKM7";"TLM7";"Eastern Scotland"
"UKM71";"TLM71";"Angus and Dundee City"
"UKM72";"TLM72";"Clackmannanshire and Fife"
"UKM73";"TLM73";"East Lothian and Midlothian"
"UKM75";"TLM75";"City of Edinburgh"
"UKM76";"TLM76";"Falkirk"
"UKM77";"TLM77";"Perth and Kinross, and Stirling"
"UKM78";"TLM78";"West Lothian"
"UKM8";"TLM8";"West Central Scotland"
"UKM81";"TLM81";"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond"
"UKM82";"TLM82";"Glasgow City"
"UKM83";"TLM83";"Inverclyde, East Renfrewshire, and Renfrewshire"
"UKM84";"TLM84";"North Lanarkshire"
"UKM9";"TLM9";"Southern Scotland"
"UKM91";"TLM91";"Scottish Borders"
"UKM92";"TLM92";"Dumfries and Galloway"
"UKM93";"TLM93";"East Ayrshire and North Ayrshire mainland"
"UKM94";"TLM94";"South Ayrshire"
"UKM95";"TLM95";"South Lanarkshire"
"UKN";"TLN";"Northern Ireland"
"UKN0";"TLN0";"Northern Ireland"
"UKN06";"TLN06";"Belfast"
"UKN07";"TLN07";"Armagh City, Banbridge and Craigavon"
"UKN08";"TLN08";"Newry, Mourne and Down"
"UKN09";"TLN09";"Ards and North Down"
"UKN0A";"TLN0A";"Derry City and Strabane"
"UKN0B";"TLN0B";"Mid Ulster"
"UKN0C";"TLN0C";"Causeway Coast and Glens"
"UKN0D";"TLN0D";"Antrim and Newtownabbey"
"UKN0E";"TLN0E";"Lisburn and Castlereagh"
"UKN0F";"TLN0F";"Mid and East Antrim"
"UKN0G";"TLN0G";"Fermanagh and Omagh"
